Interface,Signal Name,Description,Direction,PinName,Function Number,Function select register,,,,,,,,
,CAM_MCLK1,,O,USB_VBUS_DET,5,"FMUX_GPIO_REG_IOCTRL_USB_VBUS_DET
0x0300_1108",,,,,,,,
,CAM_MCLK1,,O,PAD_ETH_TXM___EPHY_RXP,5,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_TXM
0x0300_1128",,,,,,,,
,CAM_MCLK1,,O,VIVO_D9,5,"FMUX_GPIO_REG_IOCTRL_VIVO_D9
0x0300_1138",,,,,,,,
,CAM_MCLK1,,O,PAD_MIPIRX5P,5,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX5P
0x0300_1168",,,,,,,,
,CAM_MCLK1,,O,PAD_MIPIRX4P,5,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX4P
0x0300_1170",,,,,,,,
,CAM_MCLK1,,O,PAD_MIPIRX0N,5,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX0N
0x0300_118C",,,,,,,,
,CAM_MCLK1,,O,SD0_D0,1,"FMUX_GPIO_REG_IOCTRL_SD0_D0
0x0300_1024",,,,,,,,
,CAM_MCLK1,,O,UART0_TX,1,"FMUX_GPIO_REG_IOCTRL_UART0_TX
0x0300_1040",,,,,,,,
,CAM_MCLK1,,O,JTAG_CPU_TCK,1,"FMUX_GPIO_REG_IOCTRL_JTAG_CPU_TCK
0x0300_1068",,,,,,,,
,CAM_MCLK1,,O,VIVO_D2,5,"FMUX_GPIO_REG_IOCTRL_VIVO_D2
0x0300_1154",,,,,,,,
,CAM_MCLK1,,O,CAM_MCLK1,0,"FMUX_GPIO_REG_IOCTRL_CAM_MCLK1
0x0300_100C",,,,,,,,
,CAM_VS0,,O,CAM_RST0,4,"FMUX_GPIO_REG_IOCTRL_CAM_RST0
0x0300_1008",,,,,,,,
,CAM_VS0,,O,CAM_PD1,4,"FMUX_GPIO_REG_IOCTRL_CAM_PD1
0x0300_1010",,,,,,,,
,CAM_VS0,,O,SD1_CMD,4,"FMUX_GPIO_REG_IOCTRL_SD1_CMD
0x0300_10E0",,,,,,,,
,CAM_VS0,,O,PAD_MIPI_TXM0,6,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM0
0x0300_11B4",,,,,,,,
,CAM_VS0,,O,PAD_ETH_RXM___EPHY_TXP,5,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_RXM
0x0300_1130",,,,,,,,
,CAM_VS0,,O,VIVO_D8,7,"FMUX_GPIO_REG_IOCTRL_VIVO_D8
0x0300_113C",,,,,,,,
